Buffalo,New York,9372,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/44bc54e0/Buffalo-NY
Birmingham,Alabama,9018,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/089fcbbb/Birmingham-AL
Fort Lauderdale,Florida,8620,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/edadbd35/Fort-Lauderdale-FL
Tulsa,Oklahoma,8595,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/63496b56/Tulsa-OK
Madison,Wisconsin,8492,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/89c163df/Madison-WI
New Orleans,Louisiana,8310,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/2a848d69/New-Orleans-LA
Colorado Springs,Colorado,7996,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/56565946/Colorado-Springs-CO
Dayton,Ohio,7907,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/2a5c2348/Dayton-OH
Tucson,Arizona,7826,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/89be074f/Tucson-AZ
Florida,Florida,7650,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/320b8ef1/Florida-FL
Charleston,South Carolina,7380,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/d391595a/Charleston-SC
Hartford,Connecticut,7061,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/6cb184c0/Hartford-CT
Columbia,South Carolina,7060,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/744bc9a9/Columbia-SC
Greenville,South Carolina,7060,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/9b11dbab/Greenville-SC
Albuquerque,New Mexico,7000,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/f361d776/Albuquerque-NM
Knoxville,Tennessee,6961,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/68b83360/Knoxville-TN
Honolulu,Hawaii,6354,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/96fe35c2/Honolulu-HI
Albany,New York,6257,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/1da6a28e/Albany-NY
Baton Rouge,Louisiana,6054,http://www.payscale.com/research/US/Job=Software_Engineer/Salary/b2c3994e/Baton-Rouge-LA
