Fort-Lauderdale-FL,3666,3946,4732,5406,6079
Albany-NY,3137,3442,3746,4609,4812
San-Mateo-CA,4555,4990,5667,6153,7174
Milwaukee-WI,3285,3637,3989,4291,4693
Syracuse-NY,3340,3848,4102,4406,4558
Oklahoma-City-OK,3217,3579,3993,4304,5080
Louisville-KY,3129,3525,4118,4612,5423
Denver-CO,3663,3976,4342,4865,5649
Sacramento-CA,3684,4216,4458,4893,5425
Lenexa-KS,3709,3813,4075,4336,4702
Jacksonville-FL,3136,3834,4339,4620,5069
Manassas-VA,3803,4059,4419,4675,4829
Chattanooga-TN,0,3497,3946,4395,0
Norwalk-CT,4328,5101,5307,5514,5771
Portland-OR,3437,3729,4361,4903,5408
El-Segundo-CA,4216,4361,4603,5280,5522
Nashua-NH,3610,4508,4901,5855,6191
Dallas-TX,3610,4059,4452,4957,5574
New-York-NY,3643,4410,5107,5994,6476
